Date;Open;High;Low;Last Close;Chg.%;Total Value;Total Volume
01.07.2000;11.441;11.690;11.317;11.690;+4.58%;6,315,833;545,959
01.10.2000;11.690;11.869;11.642;11.834;+1.23%;6,995,268;594,416
01.11.2000;11.811;11.811;11.600;11.650;-1.56%;3,197,840;273,333
01.12.2000;11.555;11.625;11.533;11.625;-0.21%;2,176,528;188,031
01/13/2000;11.650;11.784;11.590;11.655;+0.26%;2,175,458;186,68
01/14/2000;11.690;11.936;11.685;11.739;+0.73%;4,772,258;403,595
01/17/2000;11.764;11.839;11.543;11.702;-0.32%;2,782,539;238,128
01/18/2000;11.667;11.690;11.503;11.615;-0.74%;2,879,315;248,333
01/19/2000;11.498;11.627;11.242;11.242;-3.21%;2,886,364;251,774
01/20/2000;11.220;11.374;10.829;10.896;-3.08%;3,260,443;293,308
01/21/2000;10.844;10.894;10.633;10.647;-2.28%;6,742,396;629,275
01/24/2000;10.769;11.565;10.725;11.013;+3.43%;8,821,042;785,366
01/25/2000;10.956;11.130;10.725;10.725;-2.62%;2,966,383;272,778
01/26/2000;10.856;11.187;10.707;11.105;+3.55%;2,500,475;230,907
01/27/2000;11.068;11.125;10.931;10.993;-1.01%;3,574,111;324,146
01/28/2000;11.043;11.043;10.695;10.759;-2.13%;6,061,436;558,704
01/31/2000;10.759;10.759;10.337;10.337;-3.93%;6,162,817;582,418
02.01.2000;10.046;10.314;10.046;10.185;-1.47%;7,490,250;734,713
02.02.2000;10.197;10.416;10.123;10.160;-0.24%;3,623,829;353,449
02.03.2000;10.347;10.546;10.197;10.446;+2.82%;9,250,687;891,648
02.04.2000;10.744;10.807;10.123;10.309;-1.31%;8,183,637;779,343
02.07.2000;10.098;10.695;10.098;10.570;+2.53%;8,562,686;817,732
02.08.2000;10.570;11.242;10.570;11.229;+6.24%;10,291,659;934,605
02.09.2000;11.317;11.926;11.242;11.687;+4.08%;14,601,197;1,253,701
02.10.2000;11.635;12.013;11.319;11.685;-0.02%;9,640,213;825,146
02.11.2000;11.565;11.635;10.943;11.003;-5.83%;7,884,756;705,177
02/14/2000;11.030;11.167;10.720;10.948;-0.50%;6,797,536;620,438
02/15/2000;11.192;11.292;10.707;10.782;-1.52%;4,834,906;436,846
02/16/2000;10.819;11.167;10.764;11.030;+2.31%;3,661,060;334,648
02/17/2000;11.043;11.354;10.943;10.943;-0.79%;8,152,030;731,352
02/18/2000;11.068;11.113;10.946;11.043;+0.91%;3,520,171;318,582
02/21/2000;10.943;10.943;10.645;10.695;-3.15%;3,101,353;287,808
02/22/2000;10.695;11.068;10.446;10.521;-1.63%;7,900,569;741,042
02/23/2000;10.570;10.891;10.521;10.695;+1.65%;4,586,030;430,163
02/24/2000;10.819;10.819;10.660;10.705;+0.09%;220,444;20,562
02/25/2000;10.697;10.938;10.645;10.645;-0.56%;2,511,306;233,295
02/28/2000;10.570;10.732;10.394;10.394;-2.36%;4,795,340;453,902
02/29/2000;10.633;10.832;10.546;10.819;+4.09%;4,385,517;408,918
03.01.2000;10.819;11.093;10.769;10.943;+1.15%;2,787,840;254,742
03.02.2000;11.016;11.093;10.700;10.720;-2.05%;4,288,485;389,675
03.03.2000;10.819;10.943;10.396;10.695;-0.23%;5,233,016;495,692
03.06.2000;10.570;10.570;10.235;10.446;-2.33%;2,625,512;251,991
03.07.2000;10.446;10.819;10.247;10.284;-1.55%;2,938,246;278,657
03.08.2000;10.222;10.695;10.160;10.259;-0.24%;6,196,820;599,257
03.09.2000;10.558;10.595;10.197;10.322;+0.61%;6,972,110;672,184
03.10.2000;10.347;10.943;10.347;10.941;+6.00%;5,543,881;520,773
03/13/2000;10.819;11.018;10.349;10.570;-3.39%;6,607,569;618,717
03/14/2000;10.573;10.919;10.573;10.886;+2.99%;2,668,490;248,244
03/15/2000;10.735;10.886;10.645;10.747;-1.28%;2,355,155;219,038
03/16/2000;10.919;11.314;10.822;11.220;+4.40%;4,527,976;408,46
03/17/2000;11.292;11.436;10.720;10.881;-3.01%;10,054,215;909,492
03/20/2000;11.006;11.237;10.807;11.125;+2.24%;5,269,797;477,744
03/21/2000;10.894;11.006;10.633;10.720;-3.64%;3,967,330;368,012
03/22/2000;10.744;10.943;10.595;10.891;+1.60%;3,689,448;344,555
03/23/2000;11.093;11.304;11.018;11.267;+3.45%;5,776,375;515,772
03/24/2000;10.993;11.610;10.993;11.610;+3.05%;8,190,716;715,687
03/27/2000;11.453;11.625;11.416;11.625;+0.13%;3,941,535;342,489
03/28/2000;11.466;11.615;11.018;11.192;-3.72%;1,680,901;148,837
03/29/2000;11.018;11.317;10.772;10.869;-2.89%;4,278,550;392,048
03/30/2000;10.822;11.068;10.769;10.926;+0.53%;2,460,753;226,002
03/31/2000;10.844;11.192;10.744;11.192;+2.44%;3,718,383;339,264
04.03.2000;11.192;11.192;10.757;10.931;-2.33%;3,148,892;288,724
04.04.2000;10.794;11.018;10.657;10.769;-1.48%;4,654,986;431,547
04.05.2000;10.767;10.767;10.496;10.570;-1.85%;5,734,461;540,957
04.06.2000;10.471;10.657;10.446;10.508;-0.59%;988,031;93,473
04.07.2000;10.767;10.767;10.471;10.486;-0.21%;2,055,207;195,019
04.10.2000;10.692;10.695;10.521;10.695;+1.99%;3,964,011;372,797
04.11.2000;10.570;10.807;10.570;10.744;+0.47%;3,540,056;329,976
04.12.2000;10.695;11.093;10.695;11.093;+3.24%;2,640,779;241,208
04/13/2000;11.018;11.142;10.869;11.068;-0.22%;1,789,777;162,242
04/14/2000;10.943;11.167;10.943;11.167;+0.90%;1,304,629;117,918
04/17/2000;10.856;11.292;10.856;11.254;+0.78%;2,457,847;221,105
04/18/2000;11.217;11.416;11.068;11.242;-0.11%;3,835,475;341,387
04/19/2000;11.095;11.341;11.068;11.277;+0.31%;3,213,954;287,808
04/20/2000;11.142;11.242;11.132;11.180;-0.86%;5,611,274;502,045
04/25/2000;11.180;11.543;11.068;11.451;+2.42%;8,105,074;708,949
04/26/2000;11.493;11.503;11.379;11.441;-0.09%;1,998,310;174,513
04/27/2000;11.317;11.448;11.254;11.391;-0.43%;2,773,384;243,966
04/28/2000;11.441;11.491;11.242;11.242;-1.31%;1,357,863;119,535
05.02.2000;11.341;11.341;11.118;11.187;-0.49%;1,888,658;168,579
05.03.2000;11.098;11.098;10.906;10.943;-2.18%;2,401,422;218,137
05.04.2000;11.018;11.018;10.772;10.819;-1.14%;1,121,594;103,283
05.05.2000;10.819;10.948;10.757;10.943;+1.15%;2,446,839;225,021
